Township,Area_Raw,Area_Clean,Area_Key,State,State_Clean,Tenure,Type,Type_Clean,Primary_Type,Category,Median_Price,Median_PSF,Transactions
IRAMA SENDAYAN 2C,Labu,LABU,NEGERI SEMBILAN | LABU,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,584999.0,417.0,67
BANDAR SERI BOTANI,Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Mixed,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,496800.0,344.0,67
TAMAN KLANG UTAMA,Kapar,KAPAR,SELANGOR | KAPAR,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,427500.0,403.0,66
TAMAN DESA PD,Linggi,LINGGI,NEGERI SEMBILAN | LINGGI,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,180000.0,131.0,66
Mentari Court,Bandar Sunway,BANDAR SUNWAY,SELANGOR | BANDAR SUNWAY,Selangor,SELANGOR,Leasehold,Apartment,Apartment,Apartment,High-Rise,400000.0,516.0,66
TAMAN BENTARA,Telok Panglima Garang,TELOK PANGLIMA GARANG,SELANGOR | TELOK PANGLIMA GARANG,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,455000.0,287.0,65
BANDAR TASIK KESUMA,Beranang,BERANANG,SELANGOR | BERANANG,Selangor,SELANGOR,Freehold,"Semi D, Town House, Terrace House","Semi D, Terrace House, Town House",Semi D,Landed,400000.0,293.0,64
TAMAN POLO LAGUNA @ TAMBUN,Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,487800.0,349.0,64
TAMAN HARMONIS FASA 2,Seri Iskandar,SERI ISKANDAR,PERAK | SERI ISKANDAR,Perak,PERAK,Leasehold,"Terrace House, Cluster House","Cluster House, Terrace House",Cluster House,Landed,240000.0,175.0,64
TAMAN TUN DR ISMAIL,Taman Tun Dr Ismail,TAMAN TUN DR ISMAIL,KUALA LUMPUR | TAMAN TUN DR ISMAIL,Kuala Lumpur,KUALA LUMPUR,Freehold,Terrace House,Terrace House,Terrace House,Landed,1585000.0,768.0,64
TAMAN KAMUNTING PUTRA FASA 1,Kamunting,KAMUNTING,PERAK | KAMUNTING,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,171000.0,131.0,63
BANDAR SUNGAI LONG,Bandar Sungai Long,BANDAR SUNGAI LONG,SELANGOR | BANDAR SUNGAI LONG,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,690000.0,440.0,63
BANDAR BARU SRI PETALING,Sri Petaling,SRI PETALING,KUALA LUMPUR | SRI PETALING,Kuala Lumpur,KUALA LUMPUR,Leasehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,845000.0,511.0,63
BANDAR AMANJAYA (ZON ANGGERIK),Sungai Petani,SUNGAI PETANI,KEDAH | SUNGAI PETANI,Kedah,KEDAH,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,215000.0,166.0,63
CHEMOR KAYANGAN,Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,228000.0,156.0,62
BANDAR JAYA PUTRA,Tebrau,TEBRAU,JOHOR | TEBRAU,Johor,JOHOR,Freehold,"Terrace House, Cluster House","Cluster House, Terrace House",Cluster House,Landed,1201200.0,549.0,62
BANDAR JAYA PUTRA,Ulu Tiram,ULU TIRAM,JOHOR | ULU TIRAM,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,620000.0,501.0,62
TAMAN SRI MUDA,Shah Alam,SHAH ALAM,SELANGOR | SHAH ALAM,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,330000.0,321.0,61
TAMAN GADONG JAYA,Labu,LABU,NEGERI SEMBILAN | LABU,Negeri Sembilan,NEGERI SEMBILAN,Freehold,"Terrace House, Town House","Terrace House, Town House",Terrace House,Landed,280000.0,207.0,60
TAMAN MOLEK,Johor Bahru,JOHOR BAHRU,JOHOR | JOHOR BAHRU,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,600000.0,322.0,60
ALAM SARI BANGI,Bangi,BANGI,SELANGOR | BANGI,Selangor,SELANGOR,Freehold,"Terrace House, Cluster House","Cluster House, Terrace House",Cluster House,Landed,857000.0,416.0,60
BANDAR SUNGAI BUAYA,Serendah,SERENDAH,SELANGOR | SERENDAH,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,300000.0,188.0,60
Sri Putramas,Jalan Kuching,JALAN KUCHING,KUALA LUMPUR | JALAN KUCHING,Kuala Lumpur,KUALA LUMPUR,Freehold,Condominium,Condominium,Condominium,High-Rise,650000.0,619.0,60
TAMAN RIA,Sungai Petani,SUNGAI PETANI,KEDAH | SUNGAI PETANI,Kedah,KEDAH,Freehold,Terrace House,Terrace House,Terrace House,Landed,220000.0,152.0,59
KOTA PUTERI BANDAR BARU BATU ARANG,Batu Arang,BATU ARANG,SELANGOR | BATU ARANG,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,590000.0,272.0,59
TAMAN SAMARINDAH,Kota Samarahan,KOTA SAMARAHAN,SARAWAK | KOTA SAMARAHAN,Sarawak,SARAWAK,Mixed,Terrace House,Terrace House,Terrace House,Landed,300000.0,168.0,59
TAMAN TUNKU,Miri,MIRI,SARAWAK | MIRI,Sarawak,SARAWAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,288000.0,182.0,59
Royal Domain Sri Putramas 2,Jalan Kuching,JALAN KUCHING,KUALA LUMPUR | JALAN KUCHING,Kuala Lumpur,KUALA LUMPUR,Freehold,Condominium,Condominium,Condominium,High-Rise,850000.0,669.0,59
SETIA ECOHILL,Semenyih,SEMENYIH,SELANGOR | SEMENYIH,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,670000.0,354.0,58
SS2 PETALING JAYA,Petaling Jaya,PETALING JAYA,SELANGOR | PETALING JAYA,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,1120000.0,625.0,58
AMBANG BOTANIC,Klang,KLANG,SELANGOR | KLANG,Selangor,SELANGOR,Freehold,"Semi D, Bungalow","Bungalow, Semi D",Bungalow,Landed,1590000.0,546.0,58
BANDAR TASEK MUTIARA,Simpang Ampat,SIMPANG AMPAT,PENANG | SIMPANG AMPAT,Penang,PENANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,425000.0,270.0,58
ECO MAJESTIC,Beranang,BERANANG,SELANGOR | BERANANG,Selangor,SELANGOR,Freehold,"Cluster House, Terrace House","Cluster House, Terrace House",Cluster House,Landed,854000.0,431.0,58
TAMAN TASIK INDAH,Kluang,KLUANG,JOHOR | KLUANG,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,614000.0,258.0,58
TAMAN KRUBONG HEIGHTS,Krubong,KRUBONG,MELAKA | KRUBONG,Melaka,MELAKA,Freehold,Terrace House,Terrace House,Terrace House,Landed,405800.0,290.0,57
TAMAN KAMUNTING PELANGI,Taiping,TAIPING,PERAK | TAIPING,Perak,PERAK,Freehold,Terrace House,Terrace House,Terrace House,Landed,299000.0,203.0,57
TAMAN PUNCAK CERIA (IDAMAN HILLS),Kluang,KLUANG,JOHOR | KLUANG,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,538000.0,253.0,57
TAMAN NUSA BAYU,Iskandar Puteri (Nusajaya),ISKANDAR PUTERI (NUSAJAYA),JOHOR | ISKANDAR PUTERI (NUSAJAYA),Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,600000.0,464.0,57
BANDAR LAGUNA MERBOK (TERES),Sungai Petani,SUNGAI PETANI,KEDAH | SUNGAI PETANI,Kedah,KEDAH,Freehold,Terrace House,Terrace House,Terrace House,Landed,400000.0,264.0,57
Palm Spring @ Damansara,Kota Damansara,KOTA DAMANSARA,SELANGOR | KOTA DAMANSARA,Selangor,SELANGOR,Leasehold,Condominium,Condominium,Condominium,High-Rise,530000.0,525.0,57
BANDAR SERI ALAM,Masai,MASAI,JOHOR | MASAI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,496500.0,305.0,56
BANDAR JASIN BISTARI,Bemban,BEMBAN,MELAKA | BEMBAN,Melaka,MELAKA,Leasehold,Terrace House,Terrace House,Terrace House,Landed,230435.0,150.0,56
BERTAM PERDANA,Kepala Batas,KEPALA BATAS,PENANG | KEPALA BATAS,Penang,PENANG,Freehold,"Cluster House, Terrace House","Cluster House, Terrace House",Cluster House,Landed,310000.0,260.0,55
BANDAR PUTERI JAYA SEKSYEN 1,Sungai Petani,SUNGAI PETANI,KEDAH | SUNGAI PETANI,Kedah,KEDAH,Freehold,Terrace House,Terrace House,Terrace House,Landed,228000.0,200.0,55
TAMAN MOUNT AUSTIN,Tebrau,TEBRAU,JOHOR | TEBRAU,Johor,JOHOR,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,700000.0,441.0,55
RESIDENSI MERBOK,Nibong Tebal,NIBONG TEBAL,PENANG | NIBONG TEBAL,Penang,PENANG,Freehold,"Semi D, Bungalow","Bungalow, Semi D",Bungalow,Landed,960000.0,274.0,55
TAMAN DESA IMPIAN 2 (FASA 2),Bukit Mertajam,BUKIT MERTAJAM,PENANG | BUKIT MERTAJAM,Penang,PENANG,Freehold,Semi D,Semi D,Semi D,Landed,900000.0,311.0,54
LAKE GARDEN RESIDENCE(TAMAN KLEBANG TEKOMA,Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Leasehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,499800.0,357.0,54
BANDAR BOTANIC,Klang,KLANG,SELANGOR | KLANG,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,767500.0,468.0,54
TAMAN SRI SAUJANA,Kota Tinggi,KOTA TINGGI,JOHOR | KOTA TINGGI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,380000.0,271.0,54
BANDAR AMANJAYA (KEMBOJA),Sungai Petani,SUNGAI PETANI,KEDAH | SUNGAI PETANI,Kedah,KEDAH,Freehold,Terrace House,Terrace House,Terrace House,Landed,230000.0,165.0,54
Seksyen 2 Wangsa Maju Flat,Wangsa Maju,WANGSA MAJU,KUALA LUMPUR | WANGSA MAJU,Kuala Lumpur,KUALA LUMPUR,Leasehold,Flat,Flat,Flat,High-Rise,224500.0,380.0,54
Melinsung Summer Bay Resort,Papar,PAPAR,SABAH | PAPAR,Sabah,SABAH,Leasehold,Apartment,Apartment,Apartment,High-Rise,115000.0,218.0,54
TAMAN POLITEKNIK,Telok Kemang,TELOK KEMANG,NEGERI SEMBILAN | TELOK KEMANG,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,230000.0,177.0,53
"TAMAN ALAMANDA, BANDAR BARU SEGARI",Lumut,LUMUT,PERAK | LUMUT,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,155500.0,120.0,53
TAMAN PUNCAK KASIH MERLIMAU PASIR,Merlimau,MERLIMAU,MELAKA | MERLIMAU,Melaka,MELAKA,Freehold,Terrace House,Terrace House,Terrace House,Landed,179800.0,127.0,53
TAMAN NUSANTARA,Iskandar Puteri (Nusajaya),ISKANDAR PUTERI (NUSAJAYA),JOHOR | ISKANDAR PUTERI (NUSAJAYA),Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,420000.0,372.0,53
TAMAN NUSA BESTARI 2,Iskandar Puteri (Nusajaya),ISKANDAR PUTERI (NUSAJAYA),JOHOR | ISKANDAR PUTERI (NUSAJAYA),Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,540000.0,363.0,53
BANDAR TASIK SENANGIN,Lenggeng,LENGGENG,NEGERI SEMBILAN | LENGGENG,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Bungalow,Bungalow,Bungalow,Landed,435000.0,105.0,53
TAMAN SENTOSA,Johor Bahru,JOHOR BAHRU,JOHOR | JOHOR BAHRU,Johor,JOHOR,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,700000.0,321.0,53
TAMAN LANGAT UTAMA 3,Tanjong Duabelas,TANJONG DUABELAS,SELANGOR | TANJONG DUABELAS,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,410000.0,282.0,53
AMBER 2 @ BUKIT SENTOSA,Serendah,SERENDAH,SELANGOR | SERENDAH,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,452000.0,385.0,52
KOTA EMERALD,Rawang,RAWANG,SELANGOR | RAWANG,Selangor,SELANGOR,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,795000.0,383.0,52
TAMAN MELAWATI,Ulu Klang,ULU KLANG,SELANGOR | ULU KLANG,Selangor,SELANGOR,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,686000.0,483.0,51
BUKIT BANYAN,Sungai Petani,SUNGAI PETANI,KEDAH | SUNGAI PETANI,Kedah,KEDAH,Freehold,"Town House, Terrace House, Semi D","Semi D, Terrace House, Town House",Semi D,Landed,499900.0,267.0,51
BANDAR RINCHING,Semenyih,SEMENYIH,SELANGOR | SEMENYIH,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,400000.0,292.0,51
TAMAN NILAM SARI,Seremban,SEREMBAN,NEGERI SEMBILAN | SEREMBAN,Negeri Sembilan,NEGERI SEMBILAN,Leasehold,Terrace House,Terrace House,Terrace House,Landed,411800.0,317.0,50
TAMAN AIR MANIS,Sabak Bernam,SABAK BERNAM,SELANGOR | SABAK BERNAM,Selangor,SELANGOR,Leasehold,"Cluster House, Terrace House","Cluster House, Terrace House",Cluster House,Landed,250000.0,179.0,50
TAMAN BERTAM HEIGHTS,Tanjong Minyak,TANJONG MINYAK,MELAKA | TANJONG MINYAK,Melaka,MELAKA,Freehold,Terrace House,Terrace House,Terrace House,Landed,180000.0,138.0,50
TAMAN PASIR PUTIH,Pasir Gudang,PASIR GUDANG,JOHOR | PASIR GUDANG,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,375000.0,273.0,50
BANDAR PUTERA 2,Klang,KLANG,SELANGOR | KLANG,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,411640.0,344.0,50
TAMAN KERIAN SENTOSA,Parit Buntar,PARIT BUNTAR,PERAK | PARIT BUNTAR,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,368800.0,267.0,50
Medini Signature,Iskandar Puteri (Nusajaya),ISKANDAR PUTERI (NUSAJAYA),JOHOR | ISKANDAR PUTERI (NUSAJAYA),Johor,JOHOR,Freehold,Condominium,Condominium,Condominium,High-Rise,814800.0,505.0,50
Angkasa Condominiums,Cheras,CHERAS,KUALA LUMPUR | CHERAS,Kuala Lumpur,KUALA LUMPUR,Freehold,Condominium,Condominium,Condominium,High-Rise,600000.0,648.0,50
BANDAR SEBERANG JAYA,Seberang Jaya,SEBERANG JAYA,PENANG | SEBERANG JAYA,Penang,PENANG,Leasehold,Terrace House,Terrace House,Terrace House,Landed,280000.0,294.0,49
AMBER 1@BUKIT SENTOSA,Serendah,SERENDAH,SELANGOR | SERENDAH,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,430000.0,332.0,49
TAMAN SRI SKUDAI,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,400000.0,283.0,49
TAMAN AIR BIRU,Pasir Gudang,PASIR GUDANG,JOHOR | PASIR GUDANG,Johor,JOHOR,Leasehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,270000.0,245.0,49
TAMAN SRI PULAI PERDANA,Kulai,KULAI,JOHOR | KULAI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,499000.0,382.0,49
TAMAN LESTARI PUCHONG,Seri Kembangan,SERI KEMBANGAN,SELANGOR | SERI KEMBANGAN,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,508000.0,338.0,49
NUSA SENTRAL,Iskandar Puteri (Nusajaya),ISKANDAR PUTERI (NUSAJAYA),JOHOR | ISKANDAR PUTERI (NUSAJAYA),Johor,JOHOR,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,770000.0,485.0,49
TAMAN CEMPAKA,Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Mixed,Terrace House,Terrace House,Terrace House,Landed,199000.0,202.0,49
IRAMA SENDAYAN 2A,Labu,LABU,NEGERI SEMBILAN | LABU,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,559444.0,379.0,48
BANDAR PUTERI PUCHONG,Puchong,PUCHONG,SELANGOR | PUCHONG,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,1225000.0,620.0,48
KEPONG BARU,Kepong,KEPONG,KUALA LUMPUR | KEPONG,Kuala Lumpur,KUALA LUMPUR,Mixed,Terrace House,Terrace House,Terrace House,Landed,667500.0,445.0,48
BANDAR KINRARA,Bandar Kinrara,BANDAR KINRARA,SELANGOR | BANDAR KINRARA,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,1415000.0,621.0,48
TAMAN RIA JAYA FASA 2,Sungai Petani,SUNGAI PETANI,KEDAH | SUNGAI PETANI,Kedah,KEDAH,Freehold,Terrace House,Terrace House,Terrace House,Landed,197500.0,146.0,48
TAMAN CAHAYA MASAI,Pasir Gudang,PASIR GUDANG,JOHOR | PASIR GUDANG,Johor,JOHOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,300000.0,381.0,48
Nusa Perdana Apartment,Iskandar Puteri (Nusajaya),ISKANDAR PUTERI (NUSAJAYA),JOHOR | ISKANDAR PUTERI (NUSAJAYA),Johor,JOHOR,Freehold,Service Residence,Service Residence,Service Residence,High-Rise,360000.0,386.0,48
TAMAN MELOR JAYA,Gerisek,GERISEK,JOHOR | GERISEK,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,165000.0,100.0,47
TANJUNG TEMASEK,Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,303800.0,226.0,47
ALAM PERDANA,Ijok,IJOK,SELANGOR | IJOK,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,310000.0,189.0,47
TAMAN KRUBONG JAYA,Krubong,KRUBONG,MELAKA | KRUBONG,Melaka,MELAKA,Leasehold,Terrace House,Terrace House,Terrace House,Landed,290000.0,223.0,47
TAMAN ADDA,Tebrau,TEBRAU,JOHOR | TEBRAU,Johor,JOHOR,Freehold,"Terrace House, Cluster House","Cluster House, Terrace House",Cluster House,Landed,1000000.0,387.0,47
TAMAN BANDAR UTAMA TAMPIN,Tampin,TAMPIN,NEGERI SEMBILAN | TAMPIN,Negeri Sembilan,NEGERI SEMBILAN,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,299473.0,145.0,47
Taman Terubong Indah (Majestic Heights),Ayer Itam,AYER ITAM,PENANG | AYER ITAM,Penang,PENANG,Freehold,Flat,Flat,Flat,High-Rise,170000.0,243.0,47
TAMAN CASSIA BAHAU,Bahau,BAHAU,NEGERI SEMBILAN | BAHAU,Negeri Sembilan,NEGERI SEMBILAN,Leasehold,Terrace House,Terrace House,Terrace House,Landed,249000.0,192.0,46
TAMAN MAHSURI,Padang Serai,PADANG SERAI,KEDAH | PADANG SERAI,Kedah,KEDAH,Freehold,Terrace House,Terrace House,Terrace House,Landed,270000.0,208.0,46
TAMAN BUKIT PERDANA,Batu Pahat,BATU PAHAT,JOHOR | BATU PAHAT,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,390000.0,253.0,46
TAMAN PUCHONG UTAMA,Puchong,PUCHONG,SELANGOR | PUCHONG,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,600000.0,454.0,46
USJ 3,Subang Jaya,SUBANG JAYA,SELANGOR | SUBANG JAYA,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,765000.0,482.0,46
TAMAN EVERGREEN HEIGHTS,Batu Pahat,BATU PAHAT,JOHOR | BATU PAHAT,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,420000.0,244.0,46
TAMAN LAGENDA,Padang Serai,PADANG SERAI,KEDAH | PADANG SERAI,Kedah,KEDAH,Freehold,Terrace House,Terrace House,Terrace House,Landed,292500.0,214.0,46
Molek Regency,Johor Bahru,JOHOR BAHRU,JOHOR | JOHOR BAHRU,Johor,JOHOR,Freehold,Service Residence,Service Residence,Service Residence,High-Rise,580000.0,536.0,46
TAMAN SAUJANA MANJUNG,Sitiawan,SITIAWAN,PERAK | SITIAWAN,Perak,PERAK,Leasehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,329890.0,279.0,45
MERU SENTOSA,Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,340194.0,235.0,45
TAMAN TERATAI,Kulai,KULAI,JOHOR | KULAI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,330000.0,273.0,45
TAMAN SEMENTA PERMAI,Kapar,KAPAR,SELANGOR | KAPAR,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,358000.0,254.0,45
TAMAN KOTA JAYA,Kota Tinggi,KOTA TINGGI,JOHOR | KOTA TINGGI,Johor,JOHOR,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,310000.0,198.0,45
TAMAN SENAI JAYA,Senai,SENAI,JOHOR | SENAI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,170000.0,110.0,45
PR1MA @ PORT DICKSON,Lukut,LUKUT,NEGERI SEMBILAN | LUKUT,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,287850.0,210.0,45
TAMAN SCIENTEX SENAI,Senai,SENAI,JOHOR | SENAI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,480000.0,446.0,45
Green Garden,Ayer Itam,AYER ITAM,PENANG | AYER ITAM,Penang,PENANG,Freehold,Flat,Flat,Flat,High-Rise,180000.0,335.0,45
SCIENTEX SEREMBAN,Seremban,SEREMBAN,NEGERI SEMBILAN | SEREMBAN,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,380000.0,272.0,44
BANDAR UTAMA BATANG KALI,Batang Kali,BATANG KALI,SELANGOR | BATANG KALI,Selangor,SELANGOR,Freehold,"Terrace House, Cluster House","Cluster House, Terrace House",Cluster House,Landed,232500.0,208.0,44
TAMAN BUKIT TIRAM,Ulu Tiram,ULU TIRAM,JOHOR | ULU TIRAM,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,380000.0,366.0,44
PULAI JAYA,Kulai,KULAI,JOHOR | KULAI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,520000.0,346.0,43
BANDAR UNIVERSITI,Seri Iskandar,SERI ISKANDAR,PERAK | SERI ISKANDAR,Perak,PERAK,Leasehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,250000.0,175.0,43
SERENE HEIGHTS,Semenyih,SEMENYIH,SELANGOR | SEMENYIH,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,781800.0,445.0,43
TAS,Kuantan,KUANTAN,PAHANG | KUANTAN,Pahang,PAHANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,185000.0,158.0,43
BANDAR TUN HUSSEIN ONN,Cheras,CHERAS,SELANGOR | CHERAS,Selangor,SELANGOR,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,800000.0,390.0,43
TAMAN BUKIT DAHLIA,Pasir Gudang,PASIR GUDANG,JOHOR | PASIR GUDANG,Johor,JOHOR,Mixed,Terrace House,Terrace House,Terrace House,Landed,480000.0,353.0,43
TAMAN BUKIT KEMPAS,Tampoi,TAMPOI,JOHOR | TAMPOI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,480000.0,291.0,43
TAMAN PUTRA PRIMA,Puchong,PUCHONG,SELANGOR | PUCHONG,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,780000.0,454.0,43
DESA MAYANG SARI,Nilai,NILAI,NEGERI SEMBILAN | NILAI,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,718000.0,511.0,42
TAMAN DAMAI JAYA,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,325000.0,387.0,42
USJ 11,Subang Jaya,SUBANG JAYA,SELANGOR | SUBANG JAYA,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,900000.0,513.0,42
TAMAN WIDURI,Sungai Jawi,SUNGAI JAWI,PENANG | SUNGAI JAWI,Penang,PENANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,260000.0,224.0,42
BANDAR EKAR,Rantau,RANTAU,NEGERI SEMBILAN | RANTAU,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,235789.0,145.0,42
Greenfield Regency,Tampoi,TAMPOI,JOHOR | TAMPOI,Johor,JOHOR,Freehold,Service Residence,Service Residence,Service Residence,High-Rise,391500.0,485.0,42
OVERSEAS UNION GARDEN,Jalan Klang Lama (Old Klang Road),JALAN KLANG LAMA (OLD KLANG ROAD),KUALA LUMPUR | JALAN KLANG LAMA (OLD KLANG ROAD),Kuala Lumpur,KUALA LUMPUR,Freehold,"Bungalow, Terrace House","Bungalow, Terrace House",Bungalow,Landed,923000.0,519.0,41
TAMAN PARKLAND,Kluang,KLUANG,JOHOR | KLUANG,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,150000.0,107.0,41
TAMAN TEHEL INDAH,Bemban,BEMBAN,MELAKA | BEMBAN,Melaka,MELAKA,Freehold,Terrace House,Terrace House,Terrace House,Landed,497000.0,337.0,41
TAMAN KLEMERU (P/L : 48396),Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,403000.0,229.0,41
TAMAN BANDAR BARU SUNGAI LALANG,Sungai Petani,SUNGAI PETANI,KEDAH | SUNGAI PETANI,Kedah,KEDAH,Freehold,Terrace House,Terrace House,Terrace House,Landed,200000.0,151.0,41
UDA UTAMA,Johor Bahru,JOHOR BAHRU,JOHOR | JOHOR BAHRU,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,809662.0,487.0,41
NILAI IMPIAN,Nilai,NILAI,NEGERI SEMBILAN | NILAI,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,639888.0,383.0,41
"TAMAN KELANA, RANTAU PANJANG",Kapar,KAPAR,SELANGOR | KAPAR,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,473000.0,354.0,40
TIARA SENDAYAN - PRESINT 14C,Labu,LABU,NEGERI SEMBILAN | LABU,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,512650.0,350.0,40
