Township,Area_Raw,Area_Clean,Area_Key,State,State_Clean,Tenure,Type,Type_Clean,Primary_Type,Category,Median_Price,Median_PSF,Transactions
BANDAR DATARAN SEGAR,Lukut,LUKUT,NEGERI SEMBILAN | LUKUT,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,459000.0,313.0,15
TAMAN NUSA JAYA MAS,Iskandar Puteri (Nusajaya),ISKANDAR PUTERI (NUSAJAYA),JOHOR | ISKANDAR PUTERI (NUSAJAYA),Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,520000.0,325.0,15
TAMAN AMAN,Kulai,KULAI,JOHOR | KULAI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,280000.0,253.0,15
M RESIDENCE 2,Rawang,RAWANG,SELANGOR | RAWANG,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,585000.0,346.0,15
TAMAN SURIA (SUN LAND RESIDENCE),Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,548000.0,329.0,15
TAMAN KLEDANG MAS,Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,320000.0,230.0,15
TAMAN BUKIT RAHMAN PUTRA,Rawang,RAWANG,SELANGOR | RAWANG,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,680000.0,404.0,15
TAMAN MERBAU INDAH,Triang,TRIANG,PAHANG | TRIANG,Pahang,PAHANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,200000.0,154.0,15
AUSTRA HEIGHT,Bintulu,BINTULU,SARAWAK | BINTULU,Sarawak,SARAWAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,380000.0,340.0,15
TAMAN SENIMAS,Kuala Pilah,KUALA PILAH,NEGERI SEMBILAN | KUALA PILAH,Negeri Sembilan,NEGERI SEMBILAN,Freehold,"Terrace House, Bungalow","Bungalow, Terrace House",Bungalow,Landed,199000.0,127.0,15
TAMAN PEKATRA INDAH,Simpang Ampat,SIMPANG AMPAT,PENANG | SIMPANG AMPAT,Penang,PENANG,Leasehold,Terrace House,Terrace House,Terrace House,Landed,280000.0,201.0,15
TAMAN MEGAH,Batu Pahat,BATU PAHAT,JOHOR | BATU PAHAT,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,330000.0,195.0,15
TAMAN PERTAM JAYA,Melaka City,MELAKA CITY,MELAKA | MELAKA CITY,Melaka,MELAKA,Leasehold,Terrace House,Terrace House,Terrace House,Landed,580000.0,402.0,15
TAMAN BAYU PERDANA,Klang,KLANG,SELANGOR | KLANG,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,560000.0,368.0,15
TAMAN BAYU MUTIARA,Bukit Mertajam,BUKIT MERTAJAM,PENANG | BUKIT MERTAJAM,Penang,PENANG,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,650000.0,426.0,15
TAMAN FAJAR,Sandakan,SANDAKAN,SABAH | SANDAKAN,Sabah,SABAH,Leasehold,Terrace House,Terrace House,Terrace House,Landed,320000.0,222.0,15
SETIA INDAH 12,Setia Alam,SETIA ALAM,SELANGOR | SETIA ALAM,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,802000.0,561.0,15
INDERA SEMPURNA,Kuantan,KUANTAN,PAHANG | KUANTAN,Pahang,PAHANG,Leasehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,220000.0,158.0,15
Sri Tanjung,Puchong,PUCHONG,SELANGOR | PUCHONG,Selangor,SELANGOR,Freehold,Apartment,Apartment,Apartment,High-Rise,430000.0,425.0,15
